year,firstname,sex
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,M
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2012,ALEXIS,F
2007,AMARI,M
2007,AMARI,M
2007,AMARI,M
2007,AMARI,M
2007,AMARI,M
2007,AMARI,M
2007,AMARI,M
2007,AMARI,M
2007,AMARI,M
2007,AMARI,M
2007,AMARI,M
2007,AMARI,M
2007,AMARI,M
2007,AMARI,M
2007,AMARI,M
2007,AMARI,M
2007,AMARI,M
2007,AMARI,M
